ID_can,ID_ind,ID_pop,ID_sp,can,ind,pop,sp,dur,df,ci,pn,pr,pl,BS,TE,LAT,LONG
1,1,1,1,1,1,bezerros,Phyllomedusa_nordestina,0.02,2250,4.298,2,100,0.006,35.19,19.7,-8.29083,-35.76
2,1,1,1,2,1,bezerros,Phyllomedusa_nordestina,0.02,2250,3.041,2,100,0.006,35.19,19.7,-8.29083,-35.76
3,1,1,1,3,1,bezerros,Phyllomedusa_nordestina,0.029,2250,3.728,3,103.4482759,0.006333333,35.19,19.7,-8.29083,-35.76
4,1,1,1,4,1,bezerros,Phyllomedusa_nordestina,0.028,2250,5.098,3,107.1428571,0.006666667,35.19,19.7,-8.29083,-35.76
5,1,1,1,5,1,bezerros,Phyllomedusa_nordestina,0.016,2250,3.723,2,125,0.006,35.19,19.7,-8.29083,-35.76
6,1,1,1,6,1,bezerros,Phyllomedusa_nordestina,0.028,2250,43.889,3,107.1428571,0.006,35.19,19.7,-8.29083,-35.76
7,1,1,1,7,1,bezerros,Phyllomedusa_nordestina,0.028,2250,92.846,3,107.1428571,0.007,35.19,19.7,-8.29083,-35.76
8,1,1,1,8,1,bezerros,Phyllomedusa_nordestina,0.02,2250,7.639,2,100,0.007,35.19,19.7,-8.29083,-35.76
9,1,1,1,9,1,bezerros,Phyllomedusa_nordestina,0.027,2250,4.867,3,111.1111111,0.006666667,35.19,19.7,-8.29083,-35.76
10,1,1,1,10,1,bezerros,Phyllomedusa_nordestina,0.016,2250,4.747,2,125,0.007,35.19,19.7,-8.29083,-35.76
11,1,1,1,11,1,bezerros,Phyllomedusa_nordestina,0.017,2250,3.2,2,117.6470588,0.008,35.19,19.7,-8.29083,-35.76
12,1,1,1,12,1,bezerros,Phyllomedusa_nordestina,0.027,2250,8.944,3,111.1111111,0.006333333,35.19,19.7,-8.29083,-35.76
13,1,1,1,13,1,bezerros,Phyllomedusa_nordestina,0.017,2250,70.566,2,117.6470588,0.006,35.19,19.7,-8.29083,-35.76
14,1,1,1,14,1,bezerros,Phyllomedusa_nordestina,0.026,2250,1.978,3,115.3846154,0.006,35.19,19.7,-8.29083,-35.76
15,1,1,1,15,1,bezerros,Phyllomedusa_nordestina,0.026,2250,2.322,3,115.3846154,0.006,35.19,19.7,-8.29083,-35.76
16,1,1,1,16,1,bezerros,Phyllomedusa_nordestina,0.025,2250,2.578,3,120,0.006333333,35.19,19.7,-8.29083,-35.76
17,1,1,1,17,1,bezerros,Phyllomedusa_nordestina,0.022,2250,1.533,3,136.3636364,0.006,35.19,19.7,-8.29083,-35.76
18,1,1,1,18,1,bezerros,Phyllomedusa_nordestina,0.056,2250,2.227,4,71.42857143,0.0065,35.19,19.7,-8.29083,-35.76
19,1,1,1,19,1,bezerros,Phyllomedusa_nordestina,0.026,2250,1.729,3,115.3846154,0.006,35.19,19.7,-8.29083,-35.76
20,1,1,1,20,1,bezerros,Phyllomedusa_nordestina,0.054,2250,1.794,4,74.07407407,0.00575,35.19,19.7,-8.29083,-35.76
21,1,1,1,21,1,bezerros,Phyllomedusa_nordestina,0.058,2062.5,1.956,4,68.96551724,0.0065,35.19,19.7,-8.29083,-35.76
22,1,1,1,22,1,bezerros,Phyllomedusa_nordestina,0.055,2250,1.897,4,72.72727273,0.00575,35.19,19.7,-8.29083,-35.76
23,1,1,1,23,1,bezerros,Phyllomedusa_nordestina,0.053,2250,1.715,4,75.47169811,0.00625,35.19,19.7,-8.29083,-35.76
24,1,1,1,24,1,bezerros,Phyllomedusa_nordestina,0.059,2250,2.176,4,67.79661017,0.00675,35.19,19.7,-8.29083,-35.76
