parameter,predictor,estimate,Chisq,p.value,r2_conditional,r2_marginal
Call duration,BS,0.0014829842126025123,1.2848416512395207,0.257000749339827,0.8599670406945865,0.024296816153681663
Call interval,BS,-0.07356607218742443,0.07115982003686129,0.7896555090554073,0.29970003100490616,0.0016140399286569994
Dominant frequency,BS,-23.884985915251804,64.3127043503787,1.061590053650145e-15,0.8784878010884285,0.6425358171234069
Pulse rate,BS,-1.2956975439534957,5.0406198564675755,0.024759629000067635,0.8546447500812523,0.0945633190459793
Pulse duration,BS,1.989524780509309e-5,0.15142211387693755,0.6971800230616026,0.9147361328271993,0.0020459789603342105
Number of pulses,BS,0.04905563852586732,1.807544762536036,0.17880303957671045,0.8266471792468949,0.0384013094286889
Call duration,TE,-0.00831839603644522,21.51766545490553,3.5058418875782567e-6,0.8710774990059854,0.028374748481006226
Call interval,TE,0.4118850999477128,0.30459912769198694,0.5810134433706822,0.27695259804985445,0.0018555258943104996
Dominant frequency,TE,9.474424217716422,2.6382820615757643,0.10431629070858976,0.9080369926887438,0.002499358957943431
Pulse rate,TE,2.8688060108775235,11.074778472059617,8.750987404250735e-4,0.8359662334053595,0.01846361709504715
Pulse duration,TE,-1.2973220598126796e-5,0.03539215354479643,0.8507762930522296,0.9172445116973414,3.0219972805661468e-5
Number of pulses,TE,-0.1639745587724546,9.186475746328703,0.002438098770012775,0.84776360697922,0.01424779534437446
